"dataset";"dataset.name";"public?";"coauthor.1";"coauthor.2";"agreement.sent";"agreement.received";"remarks";"dataset.identified.from";"Included.final.analysis";"reason";"system";"taxa";"group";"old_classification";"disturbance";"description";"source";"start_year";"end_year";"original_year";"Measurement";"reference";"Remark_MG";"obs";"obs2"
"90";"ta38";"ossola_ants";"NO";"aossola@ucdavis.edu";"NA";"yes";"yes";"NA";"CESTES database";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"We therefore investigated the effects of urban habitat complexity upon ant assemblages hypothesising that (i) ant abundance and species richness would be higher in habitats characterized by higher complexity, (ii) the composition of ant assemblages would be significantly different between low- and high-complexity habitats, (iii) based on the size-grain hypothesis, ants living in more complex habitats would be smaller than those living in less complex habitats.";"Google earth images and ref.";2013;2013;NA;"abundance";"Ossola, A., Nash, M. A., Christie, F. J., Hahs, A. K., & Livesley, S. J. (2015). Urban habitat complexity affects species richness but not environmental filtering of morphologically-diverse ants. PeerJ, 3, e1356.";NA;NA;NA
"91";"ta25";"penone_orthoptera";"YES";"NA";"NA";"NA";"NA";"data already published open access in caio distance decay paper";"Caio distance decay";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"To examine the impact of urbanisation, we recorded Orthoptera sounds in 2010 (August 3rd to 13th) along 209 km of five railway lines (41 ± 3 SD km) in the Parisian region, France (see figure F1 in Supporting Information Data S1). Sounds were continuously recorded on a Zoom H2 digital recorder (Samson) at a sampling rate of 96 ks s−1 from the high frequency output of a bat detector (Tranquility Transect; Courtpan Design Ltd, Cheltenham, UK). To obtain large data sets, and sample a large number of landscapes, surveys were conducted from running trains (see Supporting Information DataS1 for more details). In addition, railways are well adapted to study urbanisation effects because they often go through urban gradients.";"Google earth images and ref.";2009;2009;NA;"abundance";"Penone, C., Kerbiriou, C., Julien, J. F., Julliard, R., Machon, N., & Le Viol, I. (2013). Urbanisation effect on O rthoptera: which scale matters?. Insect Conservation and Diversity, 6(3), 319-327.";NA;NA;NA
"92";"ta31";"piano_beetles";"NO";"elena.piano@unito.it";"marco.isaia@unito.it";"yes";"yes";"NA";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"This study was conducted in the metropolitan area of Turin (NW-Italy, approximately 900,000 inhabitants), within 15 km of the city center. The city of Turin was founded by the Romans around the year 50 B.C. and it is located between the Western Alps and the beginning of the Po plain in the region of Piedmont. The altitude ranges between 220 and 280 m a.s.l. and the climate is continental. In order to test the effect of patch isolation independently from urbanization level, we adopted a specific sampling design consisting of a random selection of a total of 15 sites (plots) with open vegetation along an urbanization gradient: from less urbanized areas in the suburbia to the city center (Fig. 1). ";"Google earth images and ref.";2017;2017;NA;"abundance";"Piano, E., Bona, F., & Isaia, M. (2020). Urbanization drivers differentially affect ground arthropod assemblages in the city of Turin (NW-Italy). Urban Ecosystems, 23, 617-629.";NA;NA;NA
"93";"ta32";"piano_spiders";"NO";"elena.piano@unito.it";"marco.isaia@unito.it";"yes";"yes";"NA";"Martin suggested";"YES";NA;"terrestrial";"insect";"invertebrate";"urban";"urban";"This study was conducted in the metropolitan area of Turin (NW-Italy, approximately 900,000 inhabitants), within 15 km of the city center. The city of Turin was founded by the Romans around the year 50 B.C. and it is located between the Western Alps and the beginning of the Po plain in the region of Piedmont. The altitude ranges between 220 and 280 m a.s.l. and the climate is continental. In order to test the effect of patch isolation independently from urbanization level, we adopted a specific sampling design consisting of a random selection of a total of 15 sites (plots) with open vegetation along an urbanization gradient: from less urbanized areas in the suburbia to the city center (Fig. 1). ";"Google earth images and ref.";2017;2017;NA;"abundance";"Piano, E., Bona, F., & Isaia, M. (2020). Urbanization drivers differentially affect ground arthropod assemblages in the city of Turin (NW-Italy). Urban Ecosystems, 23, 617-629.";NA;NA;NA
"94";NA;"Predicts_cc1_2013_waite_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"urban";"urban";"The study was undertaken within the residential and commercialarea of Dunedin, on the South Island of New Zealand(455204800S; 1702804800E). Dunedin is a coastal city with ahuman population of ~120 000. Typical of the global trend, over90% of the street and reserve trees are non-native, with justfivegenera making up over half the population (Dunedin City Coun-cil, unpubl. data). A total of 40 mature trees, representing four species fromseparate genera, were selected for study: English Oak (Quercusrobur) of European origin, Sequoia (Sequioadendron  gigan-teum), of North American origin, gum (Eucalyptusspp.), fromAustralia, and Red Beech (Nothofagus fusca), the only nativestudy plant.";"Google earth images and ref.";2009;2010;NA;"abundance";"Waite, E., Closs, G. P., van Heezik, Y., & Dickinson, K. J. (2013). Resource availability and foraging of Silvereyes (Zosterops lateralis) in urban trees. Emu-Austral Ornithology, 113(1), 26-32.";NA;NA;NA
"95";NA;"Predicts_db1_2010_dures_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"multiple";"This study tests our understanding of the mechanisms behind alterations in functional and species diversity driven by urban fragmentation. We explored how, and to what degree, urban-ecological landscape variables (such as location, patch characteristics, and context) influence the functional and species composition of avifauna within fragmented natural remnants. Focusing on Cape Flats Sand Fynbos, a globally critically endangered vegetation type within the City of Cape Town (Holmes et al., 2008), we studied the community composition of birds at 39 sites across an urban–rural gradient and explored the relevance of spatially explicit variables (such as context, location, and connectivity) in a mechanistic approach to predicting community composition.";"Google earth images and ref.";2008;2009;NA;"abundance";"Dures, S. G., & Cumming, G. S. (2010). The confounding influence of homogenising invasive species in a globally endangered and largely urban biome: Does habitat quality dominate avian biodiversity?. Biological Conservation, 143(3), 768-777.";"I agree that this likely is multiple (urban-forest-gradient), We may distinguish multiple between the different land-use types covered. Nor sure if we have enough replicates for each case.";NA;NA
"96";NA;"Predicts_di1_2004_naidoo_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"The study was conducted in and around the Mabira Forest Reserve  (0◦30′N,  32◦55′E),  a  300  km2remnant  of tropical lowland rainforest in southern Uganda (Fig. 1).Study sites were selected in three land-use types in and around  the  Reserve:  intact  forest,  regenerating  forest and smallholder agriculture. Habitat types were identified from land-use maps and Geographic Information System(GIS)  coverages  compiled  by  the  Forest  Department and  were  verified  by  ground-truthing.  Intact  forest  in the Nature Reserve zone of Mabira Forest Reserve was characterised  by  relatively  undisturbed  forest  with  no large-scale logging activity, although localised pit sawing and snaring of wild game does occur. Regenerating forest was  located  in  the  Ecotourism/Recreation  zone  of  theReserve  and  consisted  of  secondary  regrowth  13  years in age. The smallholder agriculture area was outside theReserve boundaries, in an area proposed as a ‘buffer zone’ between  more  intensive  agricultural  areas  further  away from the forest and the Reserve itself.";"Google earth images and ref.";2001;2001;NA;"abundance";"Naidoo, R. (2004, January). Species richness and community composition of songbirds in a tropical forest-agricultural landscape. In Animal Conservation Forum (Vol. 7, No. 1, pp. 93-105). Cambridge University Press.";"not sure here. What means smallholder agriculture. Is that agricultural use in forested landscapes? Probably we shouild classify as \"multiple\" but is not entirely clear";NA;NA
"97";NA;"Predicts_di1_2010_milder_2";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"We conducted field sampling at 79 points stratified across eight land cover types (Table 1). We sampled ten points per land cover, except live fences, for which only nine suitable sample points could be identified. Within each land cover, five of the sample points were located in zones of low tree cover in the surrounding area (as defined by total tree cover within 400 m of the sample point) while the remaining points were located in zones of high surrounding tree cover. Except in a few instances where logistical constraints dictated otherwise, we separated points of any given land cover by at least 400 m, and all sample points by at least 200 m. In addition, to minimize the confounding influence of edge effect, all sample points were located at least 40 m from boundaries between land cover types. ";"Google earth images and ref.";2008;2009;NA;"abundance";"Milder, J. C., DeCLERCK, F. A., Sanfiorenzo, A., SÁNCHEZ, D. M., Tobar, D. E., & Zuckerberg, B. (2010). Effects of farm and landscape management on bird and butterfly conservation in western Honduras. Ecosphere, 1(1), 1-22.";NA;NA;NA
"98";NA;"Predicts_di1_2011_dawson_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"Survey work was conducted in four major habitat types based on preliminary field assessments: Primary forest, Primary forest edge, Secondary forest edge and Agricultural (Table 1 and Fig. 3).";"Google earth images and ref.";2007;2009;NA;"abundance";"Dawson, J., Turner, C., Pileng, O., Farmer, A., McGary, C., Walsh, C., ... & Yosi, C. (2011). Bird communities of the lower Waria Valley, Morobe Province, Papua New Guinea: A comparison between habitat types. Tropical Conservation Science, 4(3), 317-348.";NA;NA;NA
"99";NA;"Predicts_di1_2011_neuschulz_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"We used canopy cover (‘environmental variables’ below) as a criterion for forest modification and human disturbance to classify the six representative forest types:1) Continuous natural forests (NFor, mean canopy cover 64% ± 10.0 SE): the largest continuous forests that were found within VC and OG Nature Reserve. The sizes of the forest blocks were 130 ha (VC) and 822 ha (OG).2) Small natural forest fragments (NFra, 66% ± 11.9 SE): forest islands within VC Nature Reserve formed by microclimatic and terrain conditions (mean size of the fragments: 2.3 ha ± 0.9 SE).3) Forest fragments in timber plantations (PFra, 44% ± 3.7 SE): small stretches of native tree species that remained within eucalyptus plantations, mostly close to river beds.4) Forest fragments in the agricultural matrix (AFra, 34% ± 8.0 SE): forest islands surrounded by extensive sugar cane fields, the predominant crop in the study region (mean size of the fragments: 3.2 ha ± 0.7 SE).5) Forest gardens (FGar, 28% ± 5.0 SE): private farm house gardens surrounded by an agricultural matrix and shaped by a mixture of old and recently planted native tree species and ornamental plants.6) Secondary forests (SFor, 1% ± 0.8 SE): located in private game reserves characterised by a distinct shrub cover (20%) with predominant Acacia species due to decades of heavy game and cattle grazing. Due to the close vicinity to VC and OG Nature Reserve and thus, similar terrain and climate conditions, we expect scarp forest as the natural vegetation.";"Google earth images and ref.";2008;2009;NA;"abundance";"Neuschulz, E. L., Botzat, A., & Farwig, N. (2011). Effects of forest modification on bird community composition and seed removal in a heterogeneous landscape in South Africa. Oikos, 120(9), 1371-1379.";"it does not include urban area and focuses on forests or forest remnants, I would agree with \"forestry\"";NA;NA
"100";NA;"Predicts_di1_2012_reid_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"This study was conducted from 26 August to 2 October 2007 in a restoration site at Las Cruces Biological Station in Coto Brus County in southern Costa Rica. Melissa’s Meadow (1100 m asl) is a 31‐ha regenerating pasture, which was actively grazed by cattle until 1998 (Fig. 1). At the time of abandonment, Melissa’s Meadow was a pasture dominated by exotic African grasses including Pennisetum purpureum and Urochloa brizantha. Some remnant trees were present at that time, especially in the steeper areas. The abundance of remnant trees, however, did not differ among treatments in 2007 (ANOVA F = 1.5, df = 2,16, P = 0.24). Adjacent remnant forest had characteristics of old growth forest including an open understory, multilayered canopy, and large windfall gaps. To our knowledge there had been no disturbance, such as logging, for at least 50 yr, though the forest mayhave been affected previously by shifting agriculture (Young 1971). During 2000‐2001, eight 1 ha plots were cleared and actively restored as plantations with seedlings of native tree species (R. Quiros, pers. comm.). At least five hectares were left as untreated, abandoned pasture (i.e., passive restoration). Two hectares were also burned with a single prescribed fire; these plots were surveyed but were excluded from some analyses due to lack of replication. By 2007 a young secondary forest dominated by Cecropia spp. and Heliocarpus appendiculatus had developed across much of Melissa’s Meadow in both actively and passively restored areas (Fig. 2). Exotic pasture grasses persisted in dense patches throughout.";"Google earth images and ref.";2007;2007;NA;"abundance";"Reid, J. L., Harris, J. B. C., & Zahawi, R. A. (2011). Avian Habitat Preference in Tropical Forest Restoration in Southern Costa Rica. Biotropica, 44(3), 350–359. doi:10.1111/j.1744-7429.2011.00814.x ";"agree, ist forest land use";NA;NA
"101";NA;"Predicts_di1_2013_azhar_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"agriculture";"We conducted the study on the west coast of Peninsular Malaysia, in three provincial states: Perak, Selangor and Negeri Sembilan (between 4°29′09″N, 100°42′47″E and 2°29′00″N, 101°56′35″E) (Fig. S1). The areas cultivated with oil palm within these states are 387 214, 135 004 and 165 384 ha, respectively (Malaysia Palm Oil Board 2011).We surveyed 41 plantation estates and 14 smallholdings from January to September 2009. Cultivated areas were established between 5 and >90 years ago, on former peat swamp forest, lowland dipterocarp forest and on areas formerly dominated by other commodity crops (e.g. Rubber Hevea brasiliensis and Coconuts Cocos nucifera).";"Google earth images and ref.";2009;2009;NA;"abundance";"Azhar, B., Lindenmayer, D. B., Wood, J., Fischer, J., Manning, A., Mcelhinny, C., & Zakaria, M. (2013). The influence of agricultural system, stand structural complexity and landscape context on foraging birds in oil palm landscapes. Ibis, 155(2), 297–312. doi:10.1111/ibi.12025 ";"This is notconsistent as you classified oil palm plantations as \"forestry\" below, with the argument that they are tress. The aim is to study agricultural systems here, so I would agree with \"agriculture\", but the reasoning should be sharpened";NA;NA
"102";NA;"Predicts_dl1_2009_woinarski_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"The study focused on areas that sustained or previously sustained eucalypt open forests and savanna woodlands, which were predominantly dominated by Eucalyptus miniata and/or E. tetrodonta. The quadrats were placed within continuous areas of vegetation types (>1 km2) - cleared, regrowth, or intact forest - at a minimum distance of 100 meters from any edge. A total of 100 quadrats were surveyed, including 19 cleared, 38 regrowth, and 43 intact forest quadrats.";"Google earth images and ref.";2006;2008;NA;"abundance";"Woinarski, J. C. Z., Rankmore, B., Hill, B., Griffiths, A. D., Stewart, A., & Grace, B. (2009). Fauna assemblages in regrowth vegetation in tropical open forests of the Northern Territory, Australia. Wildlife Research, 36(8), 675. doi:10.1071/wr08128 ";"I agree with the classification in \"forestry\"";NA;NA
"103";NA;"Predicts_dl1_2010_proenca_2";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"We selected patches of oak forest (Q. robur and Q. pyrenaica) and stands of pine and eucalypt according to the following criteria: forest composed of adult trees, with a close canopy (>30% cover) and isolated from other forest patches by a matrix of shrubland or agriculture. The size of forest patches ranged from 0.22 ha to 36.52 ha (Table 1).";"Google earth images and ref.";2005;2005;NA;"abundance";"Proença, V. M., Pereira, H. M., Guilherme, J., & Vicente, L. (2010). Plant and bird diversity in natural forests and in native and exotic plantations in NW Portugal. Acta Oecologica, 36(2), 219-226.";"I agree with the classification in \"forestry\"";NA;NA
"104";NA;"Predicts_dl1_2011_mallari_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"In this study, the densities of 18 bird species were estimated in the Puerto Princesa (formerly St Paul’s) Subterranean River National Park on Palawan, Philippines, across various habitats. The study included 17 species that live in the understorey or on the ground, eight of which are endemic and six of which are threatened or Near Threatened. The study also included the endemic and Vulnerable Palawan hornbill Anthracoceros marchei. The density estimates were compared across a habitat disturbance gradient from old growth forest, through advanced and early secondary growth, to active cultivation, to identify the species that are least tolerant of forest conversion.";"Google earth images and ref.";2006;2006;NA;"abundance";"Mallari, N. A. D., Collar, N. J., Lee, D. C., McGowan, P. J. K., Wilkinson, R., & Marsden, S. J. (2011). Population densities of understorey birds across a habitat gradient in Palawan, Philippines: implications for conservation. Oryx, 45(2), 234-242.";NA;NA;NA
"105";NA;"Predicts_dl1_2011_moreno_mateos_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"agriculture";"We studied five adjacent 10x10 km squares (500 km2 in total) located in La Mancha, central Spain (38°46′48″N, 3°15′05″E), during three consecutive years (2005–2007). The altitude ranged between 678 and 1013 m asl. The area is a representative mosaic of different crops and semi-natural or introduced woody vegetation that are characteristic of large extents in Mediterranean landscapes. Croplands were mostly occupied by herbaceous crops (wheat and barley), harvested once a year in June, and permanent woody crops (olive trees — three to five meters high, and vineyards — 1 m high). Natural vegetation mostly consisted of Holm Oak Quercus rotundifolia woodland and riparian forests that have been mostly extirpated from this region. As in many other Mediterranean landscapes, the agricultural land is subjected to intensive management (e.g., irrigation of vineyards and olive groves) and land use change, including herbaceous croplands abandonment and afforestation with the native pine Pinus halepensis (relative extent of land use types are reported below).";"Google earth images and ref.";2005;2007;NA;"abundance";"Moreno-Mateos, D., Rey Benayas, J. M., Pérez-Camacho, L., Montaña, E. D. L., Rebollo, S., & Cayuela, L. (2011). Effects of land use on nocturnal birds in a Mediterranean agricultural landscape. Acta Ornithologica, 46(2), 173-182.";"not entirely clear from the description. If natural Quercus forests are included to cover the gradient of land-use types I would classify as \"multiple\", if not as \"agriculture\"";NA;NA
"106";NA;"Predicts_dl1_2012_dallimer_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"Thirteen study sites were visited in 2007, selected to cover three representative habitats on the island (Fig. 1). Six were within primary forest, three in secondary forest and four in agricultural habitats. Primary forest sites were further divided into those at low (up to 300 m), medium (to 500 m) and high (above 500 m) altitudinal bands (Table 2). At each study site, up to 21 survey points were placed with the intention of covering the range of available vegetation structures and local habitat variations found in the area. Survey points were separated by at least 150 m, a distance that was considered adequate by the observers to avoid double sampling the same areas of forest.";"Google earth images and ref.";2007;2007;NA;"abundance";"Dallimer, M., Parnell, M., Bicknell, J. E., & Melo, M. (2012). The importance of novel and agricultural habitats for the avifauna of an oceanic island. Journal for Nature Conservation, 20(4), 191-199. https://doi.org/10.1016/j.jnc.2012.04.001";NA;NA;NA
"107";NA;"Predicts_dl1_2013_bartolommei_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"In the title and text, the authors claim that they study an agricultural landscape, but in google earth we find some sites in forested areas, so I suggest using varying. The authors highlight the presence of some conifer plantations, but we agreed that any plantation forest should be treated as forest disturbance, so ... The study area covers about 200 km2, mainly consisting of deciduous forest of middle European or sub-Mediterranean zone. The landscapes are a mosaics of several land-use types: (1) arable land—sowed with cereals (mostly wheat), sunflower, corn and legumes; (2) permanent cultivations—olive plantation, vineyard and orchard; (3) forest—mainly Quercus species with some coniferous plantations; (4) scrub—shrubs and uncultivated fields; (5) small scale cultivations (vegetable patches, small pastures); (6) riverside, lake and riparian vegetation; (7) households areas—abandoned or occupied.";"Google earth images and ref.";2008;2008;NA;"abundance";"Bartolommei, P., Mortelliti, A., Pezzo, F., & Puglisi, L. (2013). Distribution of nocturnal birds (Strigiformes and Caprimulgidae) in relation to land-use types, extent and configuration in agricultural landscapes of Central Italy. Rendiconti Lincei, 24, 13-21.";NA;NA;NA
"108";NA;"Predicts_gp1_2007_kutt_2";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"This one is controversial to me. The authors wrote in their abstract that the study is in an Eucalyptus woodland, so I assume this is a forest? But looking in google map, it looks very sparsely forested, it looks more like grassland. I will put forestry, but I let you decide.We studied the response of vegetation and vertebrate assemblages to fire and grazing, and their interacting effects, in Eucalyptus woodland in north-eastern Australia. In this vegetation type, many pastures remain free of cattle grazing due to the occurrence of a native shrub poisonous to livestock.";"Google earth images and ref.";2001;2001;NA;"abundance";"Kutt, A. S., & Woinarski, J. C. (2007). The effects of grazing and fire on vegetation and the vertebrate assemblage in a tropical savanna woodland in north-eastern Australia. Journal of Tropical Ecology, 23(1), 95-106.";"I think this is a case of woodland management and would classify as \"forestry\"";NA;NA
"109";NA;"Predicts_hb1_2001_aumann_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"I am also considering this riparian woodland as forest, even if its sparsely forested The study was conducted in an area of approximately 45,000 km2, ranging from 22° to 24°S and 131° to 133°E, centered near Papunya, which is about 250 km west of Alice Springs in the Northern Territory. The study was conducted during December 1994 to December 1997. The climate, topography, vegetation, and human demographics of the region have been summarized elsewhere (Aumann 2001c). In brief, the region is hot, arid, and sparsely populated by humans, and most raptor breeding occurs during August to December within riparian woodland. The study period was dry by historical standards, with rainfall about 30% below average (approximately 340 mm) in 1995, approximately 65% below average in 1996, which was the driest year on record, and average in 1997.";"Google earth images and ref.";2002;2002;"1995-1997";"abundance";"Aumann, T. (2001). The structure of raptor assemblages in riparian environments in the south-west of the Northern Territory, Australia. Emu, 101(4), 293-304.";"I agree with the classification in \"forestry\"";NA;NA
"110";NA;"Predicts_hp1_2006_wunderle_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"Research was conducted in the Tapajós National Forest (henceforth Tapajós Forest), a 560,000 ha area managed by the Instituto Brasileiro de Meio Ambiente e Recursos Naturais Renovaveis. The Tapajós Forest is located on the east bank of the lower Tapajós River near the mouth of the Tapajós River in the western part of the state of Pará, Brazil (see map in Henriques et al. 2003). The climate, soils, and vegetation are described by Silva et al. (1985), Daly and Prance (1989), Silva (1989), and Parrotta et al. (1995). Average annual rainfall is 1920 mm, with the heaviest rains in December to May and a short dry season (August–October) during which monthly precipitation is less than 60 mm. Average monthly temperatures vary from 24.3°C to 25.8°C.";"Google earth images and ref.";2002;2002;"2000-2001";"abundance";"Wunderle Jr, J. M., Henriques, L. M. P., & Willig, M. R. (2006). Short‐Term Responses of Birds to Forest Gaps and Understory: An Assessment of Reduced‐Impact Logging in a Lowland Amazon Forest 1. Biotropica: The Journal of Biology and Conservation, 38(2), 235-255.";NA;NA;NA
"111";NA;"Predicts_hp1_2007_borges_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"Twelve sites in secondary forest (four sites in three age categories) and 12 sites in primary forest were selected for bird sampling";"Google earth images and ref.";2003;2003;NA;"abundance";"Borges, S. H. (2007). Bird assemblages in secondary forests developing after slash-and-burn agriculture in the Brazilian Amazon. Journal of Tropical Ecology, 23(4), 469-477.";NA;NA;NA
"112";NA;"Predicts_hp1_2007_ranganathan_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"multiple";"We measured patterns of bird diversity and land cover at 12 sites, each defined as the area circumscribed by a 300 m radius from the boundary of a small, discrete, central forest fragment (Fig. 1; average fragment area 3.1 ± 0.6 ha, average site area 54.2 ± 2.9 ha; measurements are expressed as mean ± SE). All forest fragments were separated from all others by at least 1 km. Differences in site area largely resulted from differences in forest fragment shape. We selected sites to represent the range of land cover possibilities present within the study circle.";"Google earth images and ref.";2002;2002;NA;"presence_absence";"Ranganathan, J., Chan, K. M., & Daily, G. C. (2007). Satellite detection of bird communities in tropical countryside. Ecological Applications, 17(5), 1499-1510.";"The target is forest fragments with different landscape surroundings: I would classify as \"forestry\"";NA;NA
"113";NA;"Predicts_hp1_2007_shahabuddin_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"The area is covered by forests formally known as tropical dry forests of two categories – tropical dry deciduous forests and tropical thorn forests (Champion & Seth, 1968) – found in three distinct associations: dry deciduous forest along the hill slopes, mixed deciduous riparian forest occurring along streams and scrub forest in the dry plains areas (G. Shahabuddin & R. Kumar, pers. obs.; Government of Rajasthan, 2002).";"Google earth images and ref.";2002;2002;NA;"abundance";"Shahabuddin, G., & Kumar, R. (2007). Effects of extractive disturbance on bird assemblages, vegetation structure and floristics in tropical scrub forest, Sariska Tiger Reserve, India. Forest Ecology and Management, 246(2-3), 175-185.";NA;NA;NA
"114";NA;"Predicts_hp1_2008_farwig_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"We sampled birds in five forest types, i.e. natural forest, plantations of a mixture of indigenous tree species (in the following mixed indigenous), monocultures of the indigenous tree M. eminii (in the following indigenous monoculture), monocultures of the exotic tree B. javanica (in the following exotic monoculture) and in secondary forest.";"Google earth images and ref.";2005;2006;NA;"abundance";"Farwig, N., Sajita, N., & Böhning-Gaese, K. (2008). Conservation value of forest plantations for bird communities in western Kenya. Forest Ecology and Management, 255(11), 3885-3892.";"I agree with the classification in \"forestry\"";NA;NA
"115";NA;"Predicts_hp1_2008_ranganathan_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"This one says in the title agriculture, but it is palm plantation, so trees... I am considering it as forestryHere, we quantify the bird diversity affiliated with agricultural systems in southwest India, a region continuously cultivated for >2,000 years. We show that arecanut palm (Areca catechu) production systems retain 90% of the bird species associated with regional native forest. Two factors promote this high conservation value";"Google earth images and ref.";2004;2004;NA;"presence_absence";"Ranganathan, J., Daniels, R. R., Chandran, M. S., Ehrlich, P. R., & Daily, G. C. (2008). Sustaining biodiversity in ancient tropical countryside. Proceedings of the National Academy of Sciences, 105(46), 17852-17854.";"As it is a kind of use of forest habitats I would agree with \"forestry\". Did they include a comparison to more natural forests?";NA;NA
"116";NA;"Predicts_hp1_2009_kessler_5";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"varying";"forest";"The study sites were located in the northern part of Napu Valley in the vicinity ofthe villages Kamarora and Wuasa, at elevations between 900 m and 1200 m asl.Three or four replicate sites were selected in each of the four studied habitat types:primary forest, forest gardens, ca. 5 years old secondary forest, and cacao plantations.";"Google earth images and ref.";2007;2007;NA;"abundance";"Kessler, M., Keßler, P. J., Gradstein, S. R., Bach, K., Schmull, M., & Pitopang, R. (2005). Tree diversity in primary forest and different land use systems in Central Sulawesi, Indonesia. Biodiversity & Conservation, 14, 547-560.";"I agree with the classification in \"forestry\"";NA;NA
"117";NA;"Predicts_hp1_2010_bicknell_1";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"Six sites were surveyed, comprising three logged and three unlogged (Fig. 1). All three unlogged sites were within the Iwokrama protected area. One logged site was also within the Iwokrama ‘Sustainable Utilisation Area’ and the two remaining logged sites were part of the DTL concession.";"Google earth images and ref.";2008;2008;NA;"abundance";"Bicknell, J., & Peres, C. A. (2010). Vertebrate population responses to reduced-impact logging in a neotropical forest. Forest Ecology and Management, 259(12), 2267-2275.";NA;NA;NA
"118";NA;"Predicts_hp1_2010_bicknell_2";"YES";"NA";"NA";"NA";"NA";"open acess dataset";"PREDICTS";"YES";NA;"terrestrial";"bird";"vertebrate";"forestry";"forest";"Six sites were surveyed, comprising three logged and three unlogged (Fig. 1). All three unlogged sites were within the Iwokrama protected area. One logged site was also within the Iwokrama ‘Sustainable Utilisation Area’ and the two remaining logged sites were part of the DTL concession.";"Google earth images and ref.";2008;2008;NA;"abundance";"Bicknell, J., & Peres, C. A. (2010). Vertebrate population responses to reduced-impact logging in a neotropical forest. Forest Ecology and Management, 259(12), 2267-2275.";NA;NA;NA
